co,kd,tauc,rv,ibd,mn,dh,cw,sd,po,fat,Qp,Tp,Bw,Tc,Bwbc,Bwac
8732.918199,35.7510098,1.684012083,15132951,0.02591078681,0.02791026086,15.56577777,12.13439378,0.0002681697365,0.2826388647,0.6178556213,6031.604,1444.752,278.4671,214.74,0.6912,28.0332
9249.380702,4.658463469,4.207822684,16103146.36,0.01755260042,0.03238311054,15.53714099,12.41587468,0.0003585207729,0.2734490816,0.6253986761,nan,4.752,0.0176,-1,-1,-1
7066.762317,33.72040367,3.615131896,16436401.13,0.03130799171,0.02213537797,15.54763803,12.05720858,0.0003191814629,0.3156341121,0.5927232292,4209.78223,1839.744,209.9005,259.74,0.5783,30.6419
11451.51667,9.05354593,2.221451109,15736221.42,0.01318386062,0.02904704071,15.60165616,11.92580089,0.000246922975,0.2456744224,0.584869858,3039.69043,3259.764,149.6904,1069.74,0.9171,27.2554
11732.3635,25.39577646,1.500380115,15527201.42,0.03574472981,0.02141705184,15.56232273,12.42300299,0.0002001496307,0.3239554364,0.6383129416,3702.56567,2199.744,173.1494,314.748,0.9604,24.1211
8099.759886,18.13303895,3.783086365,16087901.51,0.02853796814,0.01889005297,15.55227986,12.11291233,0.0002758961439,0.2904955775,0.6163582188,2725.45825,2854.764,128.425,499.752,0.6539,28.6538
13921.56376,53.69070632,3.311295736,16797986.62,0.01610924592,0.02688550316,15.55066031,12.45722713,0.0004446126996,0.279681638,0.6049440427,0.00006,4.752,0.0162,-1,-1,-1
9998.268912,46.10520645,2.77741391,15176778.19,0.0126394734,0.02763940753,15.55032161,12.15025991,0.0003143643774,0.2917200118,0.59341721,0.00001,4.752,0.0127,-1,-1,-1
8204.561341,26.82116014,2.062458263,14431039.38,0.0195257672,0.02108285161,15.55576721,11.99116998,0.0004777825371,0.2699594016,0.606311514,4399.16943,2159.748,177.996,349.74,0.6677,29.1712
11218.95173,42.25987769,2.048618053,14915729.89,0.02158778945,0.02428523059,15.56806852,12.06960837,0.0003313434158,0.2807848264,0.5995880746,5761.52588,1519.74,251.3565,214.74,0.917,26.4275
9870.181382,33.20473626,1.863111202,16477352.5,0.0303510512,0.02339297901,15.54878201,12.50808886,0.0004029197766,0.264833535,0.6045951364,4289.85986,1834.74,225.7964,264.744,0.7818,27.579
9579.519004,32.29151587,1.663519969,15888626.67,0.01473645664,0.02733489627,15.52326996,11.88764104,0.0004851999854,0.2490997876,0.6530609677,0,0,0,0,0,0
10378.47151,32.43672781,2.473389735,15375148.65,0.02785515201,0.03052342827,15.56597826,12.25769662,0.0003457572526,0.2971275154,0.6701092397,5931.00635,1494.756,277.2284,254.736,0.8354,24.4447
10150.15984,38.65980697,3.885923464,15521836.94,0.01183918948,0.02464866664,15.52481454,12.03924512,0.000198641253,0.3121872685,0.6361429914,0,0,0,0,0,0
12975.34485,35.25822015,2.37899955,16373338.02,0.01658821196,0.02309075846,15.5527134,12.14697673,0.0001783210299,0.3037733179,0.6276985016,4261.27246,1974.744,215.1504,374.76,1.0394,23.7145
9795.108409,39.53781056,1.695795927,15295290.55,0.01946272812,0.02381009547,15.56970343,12.27323744,0.0001717940379,0.2716781858,0.5860011783,5356.9126,1574.748,248.2165,219.744,0.7711,28.4011
9045.782982,44.13906362,1.017913756,15758315.16,0.02183875007,0.02022261766,15.58373214,12.69030277,0.0004537908642,0.2993994543,0.62956168,4564.63379,1699.74,225.5288,169.74,0.7195,27.1306
9427.948655,48.67510039,2.151014727,16708420.2,0.018975955,0.02552782364,15.56832667,12.46806015,0.0002552637974,0.2540136078,0.6493858212,5441.99268,1444.752,292.6106,184.752,0.7582,26.4161
8004.207939,19.35416802,1.583539132,16225748.6,0.01342303006,0.02707571583,15.55654402,12.08942229,0.0002853105675,0.3173001679,0.6470834384,3905.75122,2264.76,205.249,549.756,0.6707,27.2815
8933.564514,10.0399786,3.083405342,15715975.1,0.02298256067,0.02672872656,15.53529687,11.85603759,0.0003869505481,0.2606077443,0.6312375299,nan,4.752,0.023,-1,-1,-1
7281.825833,21.36427241,1.213876726,15306528.84,0.02373936245,0.02823348404,15.55989373,12.63792452,0.0003490956564,0.3148085825,0.5912840267,4791.33252,1844.748,231.4377,354.744,0.5972,30.4788
8560.957092,17.26560445,1.323973951,15545072.95,0.0203870668,0.02240774756,15.54529881,12.01339962,0.0002153789365,0.2823901999,0.5958431457,3354.39502,2674.764,162.1437,659.736,0.6959,29.0857
7565.52894,24.13919316,3.046807859,15983689.75,0.0178049033,0.02184578558,15.57532056,11.93018224,0.0003232688654,0.3112362798,0.6372085252,3634.26807,2199.744,173.7216,359.748,0.6333,28.2463
9945.426107,59.72445618,1.605811084,16044825.47,0.02929675383,0.02390860682,15.57952063,11.78221851,0.0005238038281,0.260031523,0.6092995362,6038.82275,1294.74,305.2123,124.74,0.8101,27.4433
11069.93162,31.25455854,2.258760584,16128049.21,0.03524759541,0.0272715964,15.54727396,12.21295986,0.0003558102468,0.3316861224,0.5888216642,4937.00488,1689.768,250.7993,284.76,0.9071,26.3632
12517.32812,18.61301854,3.389664734,14494798.97,0.01812873201,0.02863068432,15.5861735,12.44325585,0.0004579842837,0.2714945665,0.6111467002,4721.68799,2214.756,191.9111,534.744,1.0076,25.0617
10223.58586,28.01134332,2.632250039,15801596.03,0.01126285235,0.03067189901,15.59057496,11.94220116,0.0003973768201,0.2861083021,0.6156395538,5423.86719,1694.736,266.9325,384.768,0.8119,26.6949
