co,kd,tauc,se,ibh,mn,sd,po,fat,cc,dh,cw,Qp,Tp,Bw,Tc,Bwbc,Bwac
5303.202927,69.4523274,0.05490334713,0.870767491,1.002701662,0.02573901769,0.0001309719693,0.3401158086,0.6662475317,0.07230179051,1.367935271,1.987843453,1.56946,509.76,4.7606,299.736,0.5101,0.5519
4973.125951,99.72249704,0.07574296526,0.972700606,0.9951587928,0.02540516972,0.0001410073168,0.3971206037,0.6153943315,0.07115610579,1.282439672,1.940239778,2.49221,289.764,5.7269,144.756,0.4868,0.6212
4446.074126,125.1095731,0.07289315679,0.9426514074,0.9911603226,0.02676841751,0.0001198033801,0.4280616182,0.646959014,0.06215900332,1.361958311,2.070843367,2.71393,284.76,6.6121,134.748,0.4581,0.5551
5101.960905,140.5810395,0.1247241197,0.8838299481,0.9448119477,0.02318401954,0.0001383100002,0.3428537233,0.6131985568,0.06398953729,1.2527387,1.821082043,2.27554,269.748,5.924,119.736,0.4794,0.6363
4756.272954,64.8176105,0.08765064696,0.9320342835,0.9874011837,0.02787440576,0.0001184453967,0.4076837372,0.5943695422,0.06848391149,1.236139999,1.994038614,2.00085,389.736,5.1139,219.744,0.472,0.6169
4853.203769,243.0709455,0.114977909,0.893768725,1.037999561,0.02810287246,0.0001261804209,0.3382755753,0.6322994448,0.07491697636,1.272423357,2.016057978,3.65039,154.764,8.822,59.76,0.4305,0.6983
5397.526825,150.8121287,0.1172049462,0.9813429679,0.958672724,0.01639909877,0.0001213582312,0.3478950393,0.6497208879,0.07416633492,1.239182688,1.990893822,2.08029,269.748,4.4912,99.756,0.5083,0.5343
4902.872602,90.31203296,0.1455136826,0.8560591799,0.9869057778,0.02390342945,0.0001316142513,0.3922772676,0.6208359396,0.0662577932,1.332306975,1.954497962,1.66334,419.76,4.9341,219.744,0.4906,0.5717
5068.353752,139.1497326,0.1489666736,0.9876012702,1.006906249,0.02860521731,0.0001419349166,0.3893256341,0.5928157731,0.07317122166,1.307227237,1.930532656,3.38891,214.74,7.2509,104.76,0.4837,0.6701
5493.479365,168.5600969,0.1394187167,0.9371519972,0.9842209968,0.0244531853,0.000128588268,0.3974003891,0.6421556616,0.06972988097,1.289879123,1.890790188,2.89927,224.748,6.624,-1,-1,-1
5078.663106,120.8130954,0.1318436582,0.9780783808,0.9994207594,0.01894764147,0.0001281105954,0.3650945463,0.6239301514,0.06934934503,1.33021862,1.882926114,2.04782,314.748,4.7267,129.744,0.4905,0.5731
4878.428721,147.884094,0.07805321559,0.9108382282,0.9377590857,0.02263774449,0.000128253819,0.405881834,0.604223411,0.06425784227,1.30349617,1.988329882,2.37273,284.76,6.0203,124.74,0.4919,0.5278
5005.57326,156.7421908,0.06318840263,0.9062981235,0.9130149374,0.02605456063,0.0001313390891,0.3365888329,0.6199838408,0.06542937491,1.350852197,2.040534622,2.77618,269.748,7.0607,129.744,0.4667,0.5305
5319.652404,136.5024937,0.02768264107,0.9093367363,1.045706587,0.02728697207,0.0001340010675,0.3603349338,0.6363847849,0.06716312468,1.288011065,2.076547569,2.72952,244.764,6.8877,114.732,0.4978,0.6056
4520.225182,97.79131053,0.1088770088,0.9131935458,0.9327620617,0.02521183827,0.0001322040969,0.3750628734,0.6351832011,0.07209446058,1.279272135,2.027026032,2.15573,344.736,5.6,159.732,0.4339,0.5376
5144.970623,87.73953689,0.0971054238,0.8751149256,1.016901361,0.02694938081,0.0001111397661,0.4008573912,0.6407299229,0.07042665273,1.295119845,1.979686529,1.93869,369.756,5.4273,204.768,0.5106,0.5901
5373.7221,203.6205087,0.1220883349,0.9213292285,0.9409173116,0.03185760859,0.0001295675685,0.3486698654,0.6277733222,0.06871264914,1.284325902,2.034306794,3.9344,174.744,9.0533,89.748,0.5086,0.6113
4470.299899,128.2518242,0.07970112175,0.9185666774,1.014500764,0.02219074465,0.0001373762346,0.3446398887,0.6119128682,0.07683459674,1.324406705,2.022625427,2.17991,294.732,5.7523,114.732,0.4257,0.6734
5427.829758,154.9154594,0.05892550218,0.8813923459,1.0246258,0.02288983084,0.0001329549508,0.3993358318,0.6446531383,0.06721667311,1.304587196,2.042282714,2.28926,264.744,6.0257,119.736,0.536,0.5608
4255.643335,113.224246,0.06193183453,0.9165432558,0.9670362807,0.02171035514,0.0001461533335,0.3830062405,0.6030929656,0.06953946803,1.220909598,1.933808637,2.09807,279.756,5.377,109.764,0.4019,0.6945
4983.385265,130.3128036,0.1482263259,0.9627612656,1.049456548,0.02557329522,0.0001298142392,0.3389533243,0.6070369142,0.07524279844,1.301091905,1.907793654,2.83035,234.756,6.4336,104.76,0.4568,0.7188
