cw,dh,ibh,se,kd,st,tuw,tauc,mn,Qp,Tp,Bw,Bd,Tc,Bwbc,Bwac,Bdbc,Bdac
1.986750635,1.326640478,0.2062577151,0.9426514074,94.25053521,23724.66138,18.15840886,0.1379377614,0.02406647445,2.56,4428,9.946,1.326,324,1.478,1.637,0.604,1.326
2.09172189,1.351229769,0.2660876165,0.9513900046,63.46019309,27710.85917,19.10767552,0.07959868417,0.03120209919,2.58,5328,10.199,1.35,468,1.579,1.686,0.786,1.35
1.915725575,1.29907844,0.3213903149,0.912324142,212.0482934,23254.42557,19.00267099,0.1157593467,0.02542294391,3.04,288,9.751,1.298,144,0.978,1.359,0.826,1.298
2.056123771,1.227703351,0.2503772594,0.8871415292,172.2841111,25563.254,19.43837848,0.0943176411,0.02971023259,2.75,324,9.751,1.228,216,1.582,1.862,0.89,1.228
2.113422966,1.291005528,0.3670915804,0.9268588433,146.239994,24147.63952,19.22035033,0.1170478742,0.02419180652,2.83,360,9.86,1.291,252,1.344,1.6,0.622,1.291
1.859127422,1.241495768,0.3230771179,0.8476220445,121.2400114,25053.0369,19.02914821,0.09490443869,0.01885234784,2.55,5328,9.751,1.241,324,1.423,1.622,0.576,1.241
1.975327311,1.271828527,0.3088801275,0.9252688446,64.32765992,27314.49987,18.41686681,0.1297436106,0.02994242434,2.58,5328,9.751,1.271,432,1.356,1.469,0.628,1.271
1.944700759,1.320460625,0.2965064851,0.8947480368,118.6613841,25614.47192,17.99892963,0.1114921979,0.02474339089,2.64,396,9.866,1.32,324,1.631,1.832,0.835,1.32
1.912339998,1.247827936,0.3125233433,0.895386541,217.5035472,23811.52817,18.02534621,0.1315754334,0.02489346662,3.01,288,9.751,1.247,144,0.997,1.387,0.826,1.247
2.024647238,1.28790228,0.2214219575,0.8792407056,55.5879474,26837.88669,18.95326104,0.1437256213,0.02548266536,2.58,5328,9.751,1.288,396,1.247,1.344,0.841,1.288
2.031936138,1.332273059,0.2914335862,0.870767491,171.8010812,26458.14985,18.86206763,0.03135538105,0.0239057373,2.8,360,10.025,1.332,216,1.253,1.551,0.814,1.332
1.908833892,1.283154719,0.3184119458,0.9415185655,156.8972883,27513.72159,18.3689052,0.06339990346,0.01765806027,2.91,324,9.751,1.283,252,1.722,1.99,0.917,1.283
1.862789975,1.29043055,0.3062955638,0.8838299481,227.8073979,27868.21727,19.74286019,0.1258265763,0.02767089373,3.01,288,9.751,1.289,180,1.393,1.78,0.783,1.289
2.007489989,1.341317527,0.2830821356,0.9185666774,214.5283145,25035.63677,19.32748131,0.08701728938,0.02334232063,3.1,324,10.055,1.341,216,1.57,1.737,0.567,1.341
1.948656805,1.255454054,0.3043594646,0.8813923459,110.8637603,27065.01858,19.00884379,0.1477416658,0.03154185081,2.55,432,9.751,1.255,288,1.35,1.545,0.823,1.255
2.120384719,1.245055929,0.2847165262,0.9876012702,89.35731278,26743.79272,18.64176483,0.1372032589,0.01954540985,2.57,396,9.751,1.244,252,1.247,1.417,0.927,1.244
1.934420954,1.292190471,0.2329443034,0.8887780138,164.6322903,25977.16276,18.60425271,0.1042361488,0.02263810722,2.69,324,9.751,1.292,180,1.271,1.551,0.86,1.292
1.924516973,1.312430483,0.3291607102,0.8464577004,118.1191579,26900.50691,19.42705628,0.1187253366,0.03015834642,2.57,432,9.799,1.312,324,1.457,1.661,0.817,1.312
